,[2. 2. 2. 2. 2. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 1. 0.],[3. 2. 2. 2. 1. 1. 1. 1.],[3. 2. 2. 2. 2. 1. 1. 0.],[3. 2. 2. 2. 2. 2. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 1.],[3. 3. 2. 2. 1. 1. 1. 0.],[3. 3. 2. 2. 2. 1. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 0.],[3. 3. 3. 2. 1. 1. 0. 0.],[3. 3. 3. 2. 2. 0. 0. 0.],[3. 3. 3. 3. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 1.],[4. 2. 2. 2. 1. 1. 1. 0.],[4. 2. 2. 2. 2. 1. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1.],[4. 3. 2. 1. 1. 1. 1. 0.],[4. 3. 2. 2. 1. 1. 0. 0.],[4. 3. 2. 2. 2. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 0. 0.],[4. 3. 3. 2. 1. 0. 0. 0.],[4. 3. 3. 3. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 0.],[4. 4. 2. 1. 1. 1. 0. 0.],[4. 4. 2. 2. 1. 0. 0. 0.],[4. 4. 3. 1. 1. 0. 0. 0.],[4. 4. 3. 2. 0. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 1.],[5. 2. 2. 1. 1. 1. 1. 0.],[5. 2. 2. 2. 1. 1. 0. 0.],[5. 2. 2. 2. 2. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 0.],[5. 3. 2. 1. 1. 1. 0. 0.],[5. 3. 2. 2. 1. 0. 0. 0.],[5. 3. 3. 1. 1. 0. 0. 0.],[5. 3. 3. 2. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0. 0.],[5. 4. 2. 1. 1. 0. 0. 0.],[5. 4. 2. 2. 0. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0. 0.],[5. 5. 2. 1. 0. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1.],[6. 2. 1. 1. 1. 1. 1. 0.],[6. 2. 2. 1. 1. 1. 0. 0.],[6. 2. 2. 2. 1. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 0. 0.],[6. 3. 2. 1. 1. 0. 0. 0.],[6. 3. 2. 2. 0. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0. 0.],[6. 4. 2. 1. 0. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 0.],[7. 2. 1. 1. 1. 1. 0. 0.],[7. 2. 2. 1. 1. 0. 0. 0.],[7. 2. 2. 2. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0. 0.],[7. 3. 2. 1. 0. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0. 0.],[8. 2. 1. 1. 1. 0. 0. 0.],[8. 2. 2. 1. 0. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0. 0.],[9. 2. 1. 1. 0. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.]
[2. 2. 2. 2. 2. 1. 1. 1.],0.0,-0.625,0.375,-0.25,-0.6964285714285714,0.6428571428571429,0.10714285714285714,-0.42857142857142855,0.42857142857142855,-0.10714285714285714,-0.6428571428571429,-0.375,1.0,0.6428571428571429,0.10714285714285714,1.0,0.8214285714285714,0.42857142857142855,-0.10714285714285714,0.6964285714285714,0.25,-0.0,1.0,0.9285714285714286,0.6964285714285714,0.8928571428571429,0.625,1.0,1.0,1.0,0.8214285714285714,0.42857142857142855,1.0,0.9285714285714286,0.6964285714285714,0.8928571428571429,0.625,1.0,0.9821428571428571,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.9821428571428571,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 2. 2. 2. 2. 1. 0.],0.625,0.0,0.5714285714285714,0.10714285714285714,-0.5,0.5535714285714286,0.17857142857142858,-0.32142857142857145,0.21428571428571427,-0.17857142857142858,-0.7321428571428571,-0.5714285714285714,1.0,0.7321428571428571,0.3392857142857143,1.0,0.7142857142857143,0.39285714285714285,-0.125,0.4107142857142857,0.017857142857142856,-0.5,1.0,0.8392857142857143,0.6071428571428571,0.6071428571428571,0.25,0.8035714285714286,1.0,1.0,0.8571428571428571,0.5714285714285714,1.0,0.8392857142857143,0.6071428571428571,0.6071428571428571,0.25,1.0,0.9285714285714286,0.8214285714285714,0.8035714285714286,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,0.9464285714285714,1.0,0.9285714285714286,0.8214285714285714,0.8035714285714286,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 1. 1. 1. 1.],-0.375,-0.5714285714285714,0.0,-0.2857142857142857,-0.5,0.3392857142857143,-0.0,-0.2642857142857143,0.32142857142857145,-0.0,-0.26785714285714285,-0.0,0.6071428571428571,0.26785714285714285,-0.0,0.8392857142857143,0.5642857142857143,0.2642857142857143,-0.0,0.5857142857142857,0.2857142857142857,0.375,0.9285714285714286,0.7571428571428571,0.5,0.8214285714285714,0.5714285714285714,1.0,1.0,0.8214285714285714,0.5678571428571428,0.3142857142857143,0.9464285714285714,0.8035714285714286,0.5785714285714286,0.8571428571428571,0.6428571428571429,0.9857142857142858,0.9285714285714286,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9357142857142857,0.7857142857142857,0.9892857142857143,0.9428571428571428,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857142857142858,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 1. 1. 0.],0.25,-0.10714285714285714,0.2857142857142857,0.0,-0.2857142857142857,0.3333333333333333,0.0869047619047619,-0.18095238095238095,0.15714285714285714,-0.0869047619047619,-0.37142857142857144,-0.2857142857142857,0.6726190476190477,0.425,0.17023809523809524,0.7142857142857143,0.48333333333333334,0.2571428571428571,-0.0,0.33214285714285713,0.09523809523809523,-0.125,0.8214285714285714,0.6285714285714286,0.4261904761904762,0.5166666666666667,0.2976190476190476,0.7321428571428571,1.0,0.819047619047619,0.638095238095238,0.42142857142857143,0.8571428571428571,0.6892857142857143,0.5107142857142857,0.5869047619047619,0.39880952380952384,0.9285714285714286,0.8130952380952381,0.6785714285714286,0.7738095238095238,1.0,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,0.9142857142857143,0.8035714285714286,0.9428571428571428,0.8464285714285714,0.7345238095238096,0.8154761904761905,0.9821428571428571,0.9404761904761905,1.0,1.0,1.0,1.0,1.0,1.0,0.969047619047619,0.925,0.9857142857142858,0.9511904761904761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 2. 2. 2. 2. 2. 0. 0.],0.6964285714285714,0.5,0.5,0.2857142857142857,0.0,0.34523809523809523,0.15476190476190477,-0.09523809523809523,0.07142857142857142,-0.15476190476190477,-0.5178571428571429,-0.5,0.7619047619047619,0.5714285714285714,0.38095238095238093,0.5535714285714286,0.42857142857142855,0.25,-0.017857142857142856,0.15476190476190477,-0.07738095238095238,-0.5178571428571429,0.6428571428571429,0.5178571428571429,0.35714285714285715,0.25595238095238093,-0.023809523809523808,0.39285714285714285,1.0,0.8571428571428571,0.7321428571428571,0.6071428571428571,0.7023809523809523,0.5892857142857143,0.4523809523809524,0.3333333333333333,0.09523809523809523,0.7857142857142857,0.6845238095238095,0.5833333333333334,0.4642857142857143,0.6428571428571429,0.8928571428571429,0.8452380952380952,0.7023809523809523,1.0,1.0,0.9285714285714286,0.875,0.8214285714285714,0.7380952380952381,0.6726190476190477,0.5357142857142857,0.8928571428571429,0.8452380952380952,0.7023809523809523,0.9642857142857143,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,0.9107142857142857,0.875,0.7619047619047619,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9702380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 1. 1.],-0.6428571428571429,-0.5535714285714286,-0.3392857142857143,-0.3333333333333333,-0.34523809523809523,0.0,-0.09523809523809523,-0.15476190476190477,0.25,0.09523809523809523,-0.0,0.3392857142857143,0.09523809523809523,-0.0,-0.07142857142857142,0.5,0.2857142857142857,0.15476190476190477,0.07142857142857142,0.5178571428571429,0.3333333333333333,0.6428571428571429,0.6964285714285714,0.5,0.34523809523809523,0.7619047619047619,0.5535714285714286,1.0,0.6964285714285714,0.5,0.375,0.2857142857142857,0.8273809523809523,0.6607142857142857,0.5119047619047619,0.8571428571428571,0.7023809523809523,0.9285714285714286,0.8214285714285714,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619048,0.7678571428571429,0.6428571428571429,0.9642857142857143,0.8928571428571429,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9285714285714286,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 1. 1. 0.],-0.10714285714285714,-0.17857142857142858,0.0,-0.0869047619047619,-0.15476190476190477,0.09523809523809523,0.0,-0.08035714285714286,0.08928571428571429,-0.0,-0.08214285714285714,-0.0,0.25,0.15714285714285714,0.075,0.35714285714285715,0.25,0.15595238095238095,0.075,0.2619047619047619,0.16904761904761906,0.21428571428571427,0.5,0.3892857142857143,0.2904761904761905,0.4392857142857143,0.3333333333333333,0.6607142857142857,0.6785714285714286,0.5476190476190477,0.44285714285714284,0.3607142857142857,0.6607142857142857,0.549404761904762,0.45357142857142857,0.593452380952381,0.5047619047619047,0.7714285714285715,0.6678571428571428,0.5714285714285714,0.7678571428571429,1.0,0.9357142857142857,0.875,1.0,1.0,0.8571428571428571,0.7541666666666667,0.6678571428571428,0.8571428571428571,0.775,0.7,0.8547619047619047,0.9357142857142857,0.875,1.0,1.0,1.0,1.0,1.0,0.95,0.8892857142857142,0.8285714285714286,0.9625,0.9214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.9892857142857143,0.9678571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 2. 1. 0. 0.],0.42857142857142855,0.32142857142857145,0.2642857142857143,0.18095238095238095,0.09523809523809523,0.15476190476190477,0.08035714285714286,0.0,-0.0,-0.08035714285714286,-0.18571428571428572,-0.2642857142857143,0.375,0.3053571428571429,0.2392857142857143,0.2857142857142857,0.22142857142857142,0.15595238095238095,0.08214285714285714,0.08214285714285714,0.002380952380952381,-0.21428571428571427,0.34523809523809523,0.2904761904761905,0.22916666666666666,0.16904761904761906,0.08214285714285714,0.2857142857142857,0.6964285714285714,0.5952380952380952,0.530952380952381,0.4785714285714286,0.5119047619047619,0.45357142857142857,0.40535714285714286,0.3333333333333333,0.2833333333333333,0.5714285714285714,0.5297619047619048,0.4880952380952381,0.44761904761904764,0.6428571428571429,0.7678571428571429,0.7523809523809524,0.7619047619047619,1.0,0.8333333333333334,0.7625,0.7196428571428571,0.7,0.6642857142857143,0.6452380952380953,0.594047619047619,0.7678571428571429,0.7523809523809524,0.7619047619047619,0.9166666666666666,0.9404761904761905,1.0,1.0,0.9214285714285714,0.8821428571428571,0.8642857142857143,0.8464285714285714,0.8392857142857143,0.8571428571428571,0.9166666666666666,0.9404761904761905,1.0,1.0,1.0,0.9714285714285714,0.9595238095238096,0.9476190476190476,0.9642857142857143,1.0,1.0,1.0,0.9940476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 1. 1. 0.],-0.42857142857142855,-0.21428571428571427,-0.32142857142857145,-0.15714285714285714,-0.07142857142857142,-0.25,-0.08928571428571429,0.0,0.0,0.08928571428571429,0.15,0.32142857142857145,-0.16071428571428573,-0.07142857142857142,0.007142857142857143,-0.125,-0.0,0.075,0.12857142857142856,0.19642857142857142,0.23214285714285715,0.5071428571428571,0.07142857142857142,0.15,0.2,0.37142857142857144,0.35714285714285715,0.5892857142857143,0.19642857142857142,0.24285714285714285,0.2857142857142857,0.3,0.39285714285714285,0.4035714285714286,0.41785714285714287,0.6321428571428571,0.5928571428571429,0.5214285714285715,0.5071428571428571,0.5,0.7857142857142857,1.0,0.85,0.7857142857142857,1.0,0.625,0.5714285714285714,0.5642857142857143,0.5571428571428572,0.7607142857142857,0.7071428571428572,0.6785714285714286,0.9071428571428571,0.85,0.7857142857142857,1.0,1.0,1.0,1.0,0.8928571428571429,0.8107142857142857,0.7821428571428571,0.7642857142857142,0.9464285714285714,0.9071428571428571,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9464285714285714,0.9071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 1. 1. 0. 0.],0.10714285714285714,0.17857142857142858,0.0,0.0869047619047619,0.15476190476190477,-0.09523809523809523,0.0,0.08035714285714286,-0.08928571428571429,0.0,0.08214285714285714,-0.0,-0.011904761904761904,0.075,0.14285714285714285,-0.10714285714285714,-0.005952380952380952,0.07559523809523809,0.14464285714285716,-0.0,0.08214285714285714,0.10714285714285714,-0.023809523809523808,0.06488095238095239,0.1392857142857143,0.08214285714285714,0.15714285714285714,0.17857142857142858,0.23214285714285715,0.30952380952380953,0.3607142857142857,0.40714285714285714,0.24404761904761904,0.3148809523809524,0.3732142857142857,0.35,0.41785714285714287,0.3,0.37083333333333335,0.42857142857142855,0.45,0.6428571428571429,0.6071428571428571,0.6547619047619048,0.8214285714285714,0.5,0.5476190476190477,0.569047619047619,0.5982142857142857,0.5571428571428572,0.5958333333333333,0.6321428571428571,0.6785714285714286,0.6071428571428571,0.6547619047619048,0.8214285714285714,0.8547619047619047,0.8809523809523809,1.0,0.7857142857142857,0.7607142857142857,0.763095238095238,0.7821428571428571,0.7946428571428571,0.8119047619047619,0.9285714285714286,0.8547619047619047,0.8809523809523809,1.0,1.0,0.9285714285714286,0.8946428571428572,0.8952380952380953,0.9404761904761905,0.9523809523809523,1.0,1.0,0.9857142857142858,0.969047619047619,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
