,[8. 8. 7.],[9. 7. 7.],[9. 8. 6.],[9. 9. 5.],[10.  7.  6.],[10.  8.  5.],[10.  9.  4.],[10. 10.  3.],[11.  6.  6.],[11.  7.  5.],[11.  8.  4.],[11.  9.  3.],[11. 10.  2.],[11. 11.  1.],[12.  6.  5.],[12.  7.  4.],[12.  8.  3.],[12.  9.  2.],[12. 10.  1.],[12. 11.  0.],[13.  5.  5.],[13.  6.  4.],[13.  7.  3.],[13.  8.  2.],[13.  9.  1.],[13. 10.  0.],[14.  5.  4.],[14.  6.  3.],[14.  7.  2.],[14.  8.  1.],[14.  9.  0.],[15.  4.  4.],[15.  5.  3.],[15.  6.  2.],[15.  7.  1.],[15.  8.  0.],[16.  4.  3.],[16.  5.  2.],[16.  6.  1.],[16.  7.  0.],[17.  3.  3.],[17.  4.  2.],[17.  5.  1.],[17.  6.  0.],[18.  3.  2.],[18.  4.  1.],[18.  5.  0.],[19.  2.  2.],[19.  3.  1.],[19.  4.  0.],[20.  2.  1.],[20.  3.  0.],[21.  1.  1.],[21.  2.  0.],[22.  1.  0.],[23.  0.  0.]
[8. 8. 7.],0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,-1.0,1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,1.0,1.0,1.0,0.6666666666666666,-0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 7. 7.],-0.3333333333333333,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 8. 6.],0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 9. 5.],1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  7.  6.],-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,1.0,0.6666666666666666,-0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  8.  5.],0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  9.  4.],1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[10. 10.  3.],1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[11.  6.  6.],-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[11.  7.  5.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
