,[7. 7. 6.],[8. 6. 6.],[8. 7. 5.],[8. 8. 4.],[9. 6. 5.],[9. 7. 4.],[9. 8. 3.],[9. 9. 2.],[10.  5.  5.],[10.  6.  4.],[10.  7.  3.],[10.  8.  2.],[10.  9.  1.],[10. 10.  0.],[11.  5.  4.],[11.  6.  3.],[11.  7.  2.],[11.  8.  1.],[11.  9.  0.],[12.  4.  4.],[12.  5.  3.],[12.  6.  2.],[12.  7.  1.],[12.  8.  0.],[13.  4.  3.],[13.  5.  2.],[13.  6.  1.],[13.  7.  0.],[14.  3.  3.],[14.  4.  2.],[14.  5.  1.],[14.  6.  0.],[15.  3.  2.],[15.  4.  1.],[15.  5.  0.],[16.  2.  2.],[16.  3.  1.],[16.  4.  0.],[17.  2.  1.],[17.  3.  0.],[18.  1.  1.],[18.  2.  0.],[19.  1.  0.],[20.  0.  0.]
[7. 7. 6.],0.0,0.3333333333333333,-0.3333333333333333,-1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,-1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,0.6666666666666666,-0.3333333333333333,-1.0,1.0,1.0,0.6666666666666666,-0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 6. 6.],-0.3333333333333333,0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,-1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,1.0,1.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 7. 5.],0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,-1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.6666666666666666,-1.0,1.0,0.6666666666666666,0.3333333333333333,-0.0,-0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 8. 4.],1.0,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-1.0,-1.0,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[9. 6. 5.],-0.6666666666666666,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,0.6666666666666666,-0.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666,-0.0,-0.3333333333333333,1.0,1.0,0.6666666666666666,-0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[9. 7. 4.],0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.6666666666666666,-1.0,-0.0,0.3333333333333333,-0.0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
[9. 8. 3.],1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.0,-0.6666666666666666,-1.0,-0.3333333333333333,-0.0,0.3333333333333333,-0.0,-0.6666666666666666,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
[9. 9. 2.],1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
[10.  5.  5.],-1.0,-1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.0,-0.0,-0.0,-0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[10.  6.  4.],-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.0,-0.0,-0.0,-0.3333333333333333,-0.0,-0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,-0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
