,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288
1/2^1,0.7486980982251064,0.41835039765928234,0.03703040379744119,7.656197376758608e-05,6.199292995433742e-11,1.877621178488806e-26,3.969116233242443e-77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^2,0.8177534695854797,0.7132736696283009,0.42453173116681653,0.052883201641443785,0.00016540806355889662,5.994761229650523e-11,5.569064419861285e-32,6.614758815860108e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^3,0.8398204523191348,0.7994883902281288,0.694001459834567,0.4063256952233479,0.04388337994244818,4.700683707498246e-05,8.126595766743707e-15,3.679966449505272e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^4,0.848973872901338,0.8312126071481231,0.7894399801203571,0.6775425002682373,0.36273484771272874,0.020023711528525584,3.90856886125685e-07,6.452280263971005e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^5,0.8531712420158157,0.8448275862571066,0.8264177595664056,0.7816987478974649,0.653196647917808,0.26823570746546366,0.001746980149658578,3.6295507243659706e-16,1.7279927612355716e-223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^6,0.8551841175670054,0.8511390904596301,0.8425098090696802,0.8228423795542397,0.7715418480124092,0.5999307770551408,0.09570571246883672,5.412065780572925e-08,7.851447820878438e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^7,0.856170117238635,0.8541784107821383,0.8500019898425233,0.840807175416333,0.8183978108421688,0.7504844325455011,0.4454404790432989,0.0005906591488552574,3.587788007481156e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.8566581279257798,0.8556698671667838,0.853615493946223,0.8491727917927161,0.8387457571062388,0.809560285532456,0.6874653157955234,0.05668364417295849,1.6619948170052563e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.8569009006506603,0.856408654870668,0.8553898376853358,0.853206501266807,0.8481819349556187,0.8347435588831766,0.784234959619425,0.37570330574792726,1.0300839485448245e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
