,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  2.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[12.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.16176470588235295,0.0,0.0,0.0,0.029411764705882353,0.16176470588235295,0.44537815126050423,0.0,0.029411764705882353,0.16176470588235295,0.44537815126050423,0.16176470588235295,0.44537815126050423,0.792016806722689,0.792016806722689,0.0,0.0,0.029411764705882353,0.16176470588235295,0.44537815126050423,0.029411764705882353,0.16176470588235295,0.44537815126050423,0.792016806722689,0.44537815126050423,0.792016806722689,1.0,0.16176470588235295,0.44537815126050423,0.792016806722689,0.792016806722689,1.0,1.0,0.0,0.029411764705882353,0.16176470588235295,0.44537815126050423,0.792016806722689,0.16176470588235295,0.44537815126050423,0.792016806722689,0.792016806722689,1.0,0.44537815126050423,0.792016806722689,1.0,1.0,1.0,0.792016806722689,1.0,1.0,0.029411764705882353,0.16176470588235295,0.44537815126050423,0.792016806722689,0.44537815126050423,0.792016806722689,1.0,1.0,0.792016806722689,1.0,1.0,1.0,1.0,1.0,0.16176470588235295,0.44537815126050423,0.792016806722689,1.0,0.792016806722689,1.0,1.0,1.0,1.0,1.0,1.0,0.44537815126050423,0.792016806722689,1.0,1.0,1.0,1.0,1.0,0.792016806722689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,0.0,0.0,0.003663003663003663,0.02177601809954751,0.07207498383968972,0.0,0.0,0.004524886877828055,0.026018099547511313,0.08419521654815773,0.20539754363283774,0.005279034690799397,0.030260180995475113,0.09631544925662573,0.22761797026502908,0.10843568196509373,0.24983839689722043,0.4720426632191338,0.4987071751777634,0.0,0.005279034690799397,0.030260180995475113,0.09631544925662573,0.22761797026502908,0.034502262443438916,0.10843568196509373,0.24983839689722043,0.4720426632191338,0.27205882352941174,0.4987071751777634,0.792016806722689,0.12055591467356173,0.27205882352941174,0.4987071751777634,0.525371687136393,0.792016806722689,0.8093487394957983,0.006033182503770739,0.034502262443438916,0.10843568196509373,0.24983839689722043,0.4720426632191338,0.12055591467356173,0.27205882352941174,0.4987071751777634,0.525371687136393,0.792016806722689,0.2942792501616031,0.525371687136393,0.792016806722689,0.8093487394957983,1.0,0.5520361990950227,0.8093487394957983,1.0,0.038744343891402716,0.12055591467356173,0.27205882352941174,0.4987071751777634,0.2942792501616031,0.525371687136393,0.792016806722689,0.8093487394957983,0.5520361990950227,0.8093487394957983,1.0,0.8266806722689075,1.0,1.0,0.13267614738202974,0.2942792501616031,0.525371687136393,0.792016806722689,0.5520361990950227,0.8093487394957983,1.0,0.8266806722689075,1.0,1.0,1.0,0.3164996767937944,0.5520361990950227,0.8093487394957983,0.8266806722689075,1.0,1.0,1.0,0.5787007110536523,0.8266806722689075,1.0,1.0,1.0,0.8440126050420168,1.0,1.0,1.0,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,0.0005758946935417523,0.004010695187165776,0.012734324499030381,0.027450490685784805,0.0,0.0011517893870835046,0.005963154492566257,0.017652935299994125,0.03879943585825939,0.07207498383968972,0.007846565199506376,0.023285537991420344,0.051580772169007465,0.09631544925662573,0.06579449961802902,0.12249515190691661,0.20539754363283774,0.24903038138332256,0.0014808720691073633,0.007846565199506376,0.023285537991420344,0.051580772169007465,0.09631544925662573,0.029632132573309045,0.06579449961802902,0.12249515190691661,0.20539754363283774,0.15061409179056237,0.24903038138332256,0.44537815126050423,0.08144061820532408,0.15061409179056237,0.24903038138332256,0.2939722042663219,0.44537815126050423,0.5021008403361344,0.009913615795968738,0.029632132573309045,0.06579449961802902,0.12249515190691661,0.20539754363283774,0.08144061820532408,0.15061409179056237,0.24903038138332256,0.2939722042663219,0.44537815126050423,0.18067226890756302,0.2939722042663219,0.44537815126050423,0.5021008403361344,0.7573529411764706,0.3402230122818358,0.5021008403361344,0.7573529411764706,0.036692719045660224,0.08144061820532408,0.15061409179056237,0.24903038138332256,0.18067226890756302,0.2939722042663219,0.44537815126050423,0.5021008403361344,0.3402230122818358,0.5021008403361344,0.7573529411764706,0.557563025210084,0.7573529411764706,0.8014705882352942,0.09851912793089264,0.18067226890756302,0.2939722042663219,0.44537815126050423,0.3402230122818358,0.5021008403361344,0.7573529411764706,0.557563025210084,0.7573529411764706,0.8014705882352942,1.0,0.21266968325791855,0.3402230122818358,0.5021008403361344,0.557563025210084,0.7573529411764706,0.8014705882352942,1.0,0.38778280542986426,0.557563025210084,0.7573529411764706,0.8014705882352942,1.0,0.611764705882353,0.8014705882352942,1.0,0.8411764705882353,1.0,1.0,1.0
[2. 2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0005758946935417523,-0.0,0.0022898669957493486,0.00560468942821884,0.00781571369806664,0.00041135335252982314,0.0016077060194707254,0.004583161936103112,0.009152612093788565,0.01388317564788153,0.01753393665158371,0.007051282051282051,0.013857466063348416,0.022110242698477993,0.030260180995475113,0.032754010695187165,0.04694570135746606,0.05995475113122172,0.09049773755656108,0.002678938708350473,0.00706670780200192,0.013857466063348416,0.022110242698477993,0.030260180995475113,0.019868366927190458,0.032754010695187165,0.04694570135746606,0.05995475113122172,0.06790158371040723,0.09049773755656108,0.16176470588235295,0.04607157548334019,0.06790158371040723,0.09049773755656108,0.12748868778280542,0.16176470588235295,0.2213235294117647,0.009913615795968738,0.019868366927190458,0.032754010695187165,0.04694570135746606,0.05995475113122172,0.04607157548334019,0.06790158371040723,0.09049773755656108,0.12748868778280542,0.16176470588235295,0.09343891402714932,0.12748868778280542,0.16176470588235295,0.2213235294117647,0.3602941176470588,0.17104072398190046,0.2213235294117647,0.3602941176470588,0.027334430275606746,0.04607157548334019,0.06790158371040723,0.09049773755656108,0.09343891402714932,0.12748868778280542,0.16176470588235295,0.2213235294117647,0.17104072398190046,0.2213235294117647,0.3602941176470588,0.28823529411764703,0.3602941176470588,0.45294117647058824,0.0623200329082682,0.09343891402714932,0.12748868778280542,0.16176470588235295,0.17104072398190046,0.2213235294117647,0.3602941176470588,0.28823529411764703,0.3602941176470588,0.45294117647058824,0.6691176470588235,0.12386877828054299,0.17104072398190046,0.2213235294117647,0.28823529411764703,0.3602941176470588,0.45294117647058824,0.6691176470588235,0.22126696832579185,0.28823529411764703,0.3602941176470588,0.45294117647058824,0.6691176470588235,0.36176470588235293,0.45294117647058824,0.6691176470588235,0.5470588235294118,0.6691176470588235,0.7683823529411765,1.0
[2. 2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.003663003663003663,-0.004010695187165776,-0.0022898669957493486,-0.0,0.001439736733854381,0.0012340600575894694,-0.0012046776752659106,-0.0003930709813062754,0.001439736733854381,0.002879473467708762,0.002879473467708762,0.0022624434389140274,0.003427944604415193,0.005183052241875772,0.005758946935417524,0.005279034690799397,0.010366104483751543,0.010558069381598794,0.00904977375565611,0.01809954751131222,0.0018922254216371863,0.003592485945427122,0.005183052241875772,0.005758946935417524,0.005279034690799397,0.008638420403126285,0.010366104483751543,0.010558069381598794,0.00904977375565611,0.019004524886877826,0.01809954751131222,0.029411764705882353,0.01727684080625257,0.019004524886877826,0.01809954751131222,0.03257918552036199,0.029411764705882353,0.052941176470588235,0.0059920471685177565,0.008638420403126285,0.010366104483751543,0.010558069381598794,0.00904977375565611,0.01727684080625257,0.019004524886877826,0.01809954751131222,0.03257918552036199,0.029411764705882353,0.03167420814479638,0.03257918552036199,0.029411764705882353,0.052941176470588235,0.08235294117647059,0.05429864253393665,0.052941176470588235,0.08235294117647059,0.013574660633484163,0.01727684080625257,0.019004524886877826,0.01809954751131222,0.03167420814479638,0.03257918552036199,0.029411764705882353,0.052941176470588235,0.05429864253393665,0.052941176470588235,0.08235294117647059,0.08823529411764706,0.08235294117647059,0.13725490196078433,0.027149321266968326,0.03167420814479638,0.03257918552036199,0.029411764705882353,0.05429864253393665,0.052941176470588235,0.08235294117647059,0.08823529411764706,0.08235294117647059,0.13725490196078433,0.20588235294117646,0.049773755656108594,0.05429864253393665,0.052941176470588235,0.08823529411764706,0.08235294117647059,0.13725490196078433,0.20588235294117646,0.08532643826761474,0.08823529411764706,0.08235294117647059,0.13725490196078433,0.20588235294117646,0.13865546218487396,0.13725490196078433,0.20588235294117646,0.21568627450980393,0.20588235294117646,0.3235294117647059,0.47058823529411764
[2. 2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.029411764705882353,-0.02177601809954751,-0.012734324499030381,-0.00560468942821884,-0.001439736733854381,-0.0,0.0,-0.013368983957219251,-0.006458247634718223,-0.001851090086384204,0.0,0.0,0.0,-0.001851090086384204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030028794734677086,-0.000925545043192102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00037021801727684083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16176470588235295,-0.07207498383968972,-0.027450490685784805,-0.00781571369806664,-0.0012340600575894694,-0.0,-0.0,-0.052241875771287534,-0.016659810777457835,-0.0030851501439736733,0.0,0.0,0.0,-0.006170300287947347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013368983957219251,-0.0024681201151789387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001851090086384204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,-0.00041135335252982314,0.0012046776752659106,0.013368983957219251,0.052241875771287534,-0.0,0.0,0.0015866486454721748,0.011980666392431099,0.04728359875418699,0.13267614738202974,0.001439736733854381,0.010592348827642945,0.04232532173708644,0.12055591467356173,0.0373670447199859,0.10843568196509373,0.24903038138332256,0.22721396250808015,0.0,0.0016454134101192926,0.011980666392431099,0.04728359875418699,0.13267614738202974,0.010592348827642945,0.04232532173708644,0.12055591467356173,0.27084680025856495,0.10843568196509373,0.24903038138332256,0.44537815126050423,0.04232532173708644,0.12055591467356173,0.27084680025856495,0.24903038138332256,0.4737394957983193,0.4737394957983193,0.0016454134101192926,0.011980666392431099,0.04728359875418699,0.13267614738202974,0.2926632191338074,0.04232532173708644,0.12055591467356173,0.27084680025856495,0.24903038138332256,0.4737394957983193,0.12055591467356173,0.27084680025856495,0.5021008403361344,0.4737394957983193,0.7573529411764706,0.27084680025856495,0.5021008403361344,0.7573529411764706,0.011980666392431099,0.04728359875418699,0.13267614738202974,0.2926632191338074,0.12055591467356173,0.27084680025856495,0.5021008403361344,0.4737394957983193,0.27084680025856495,0.5021008403361344,0.7573529411764706,0.5021008403361344,0.7794117647058824,0.7794117647058824,0.04728359875418699,0.13267614738202974,0.2926632191338074,0.5304621848739496,0.27084680025856495,0.5021008403361344,0.7573529411764706,0.5021008403361344,0.7794117647058824,0.7794117647058824,1.0,0.13267614738202974,0.2926632191338074,0.5304621848739496,0.5021008403361344,0.7794117647058824,0.7794117647058824,1.0,0.2926632191338074,0.5304621848739496,0.8014705882352942,0.7794117647058824,1.0,0.5304621848739496,0.8014705882352942,1.0,0.8014705882352942,1.0,1.0,1.0
[3. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0011517893870835046,-0.0016077060194707254,0.0003930709813062754,0.006458247634718223,0.016659810777457835,-0.0,-0.0,0.001566570684217743,0.006813039901275195,0.017928150281091456,0.038744343891402716,0.0018545180309886193,0.00693130399012752,0.018562320032908267,0.04072398190045249,0.018562320032908267,0.04138386123680241,0.08031674208144797,0.08031674208144797,0.00032908268202385847,0.0021156131450249097,0.007846565199506376,0.020901892225421638,0.04562594268476621,0.007846565199506376,0.02121897710133004,0.04694570135746606,0.09049773755656108,0.04694570135746606,0.09157239819004524,0.16176470588235295,0.023875634169751817,0.053167420814479636,0.10282805429864253,0.10282805429864253,0.18161764705882352,0.20147058823529412,0.0024178435943141828,0.008880090497737556,0.023875634169751817,0.052507541478129714,0.10067873303167421,0.023875634169751817,0.053167420814479636,0.10282805429864253,0.10282805429864253,0.18161764705882352,0.05938914027149321,0.11515837104072398,0.20147058823529412,0.20147058823529412,0.3602941176470588,0.12748868778280542,0.22254901960784312,0.3602941176470588,0.009913615795968738,0.026849376114081995,0.05938914027149321,0.11408371040723982,0.05938914027149321,0.11515837104072398,0.20147058823529412,0.20147058823529412,0.12748868778280542,0.22254901960784312,0.3602941176470588,0.24362745098039215,0.3911764705882353,0.42205882352941176,0.029823118058412177,0.06627073906485671,0.12748868778280542,0.2213235294117647,0.12748868778280542,0.22254901960784312,0.3602941176470588,0.24362745098039215,0.3911764705882353,0.42205882352941176,0.6691176470588235,0.07315233785822021,0.14089366515837104,0.24362745098039215,0.24362745098039215,0.3911764705882353,0.42205882352941176,0.6691176470588235,0.15429864253393666,0.2659313725490196,0.42205882352941176,0.42205882352941176,0.6691176470588235,0.28823529411764703,0.4531862745098039,0.6691176470588235,0.4843137254901961,0.7022058823529411,0.7352941176470589,1.0
[3. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0,-0.004524886877828055,-0.005963154492566257,-0.004583161936103112,-0.001439736733854381,0.001851090086384204,0.0030851501439736733,-0.0015866486454721748,-0.001566570684217743,-0.0,0.0023035787741670093,0.004113533525298231,0.006033182503770739,0.0008227067050596463,0.002687508569861511,0.005039078568490334,0.007918552036199095,0.005758946935417524,0.009502262443438913,0.013574660633484163,0.01583710407239819,4.113533525298231e-05,0.0010283833813245578,0.0030714383655560127,0.005758946935417524,0.00904977375565611,0.003455368161250514,0.0067187714246537775,0.011085972850678734,0.01583710407239819,0.012669683257918552,0.019004524886877826,0.029411764705882353,0.008638420403126285,0.01478129713423831,0.022171945701357467,0.025339366515837104,0.03529411764705882,0.047058823529411764,0.0016042780748663102,0.003948992184286302,0.007678595913890031,0.012669683257918552,0.01809954751131222,0.008638420403126285,0.01478129713423831,0.022171945701357467,0.025339366515837104,0.03529411764705882,0.019004524886877826,0.02956259426847662,0.041176470588235294,0.047058823529411764,0.08235294117647059,0.03800904977375565,0.054901960784313725,0.08235294117647059,0.0049362402303578775,0.009872480460715755,0.01689291101055807,0.025339366515837104,0.019004524886877826,0.02956259426847662,0.041176470588235294,0.047058823529411764,0.03800904977375565,0.054901960784313725,0.08235294117647059,0.07058823529411765,0.09607843137254903,0.12352941176470589,0.012340600575894693,0.02171945701357466,0.03378582202111614,0.047058823529411764,0.03800904977375565,0.054901960784313725,0.08235294117647059,0.07058823529411765,0.09607843137254903,0.12352941176470589,0.20588235294117646,0.027149321266968326,0.04343891402714932,0.06274509803921569,0.07058823529411765,0.09607843137254903,0.12352941176470589,0.20588235294117646,0.05429864253393665,0.08067226890756303,0.10980392156862745,0.12352941176470589,0.20588235294117646,0.10084033613445378,0.1411764705882353,0.20588235294117646,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.47058823529411764
