,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.009074952867296,0.0031907844543457,0.0017843051832549,0.000950661572543,0.0006646505991617,0.0004828030412847,0.0004645660188462,0.0004434294981751,0.0005319294880847,0.0006353518556314,0.0007916770604483,0.0009424457105262,0.001139876809864,0.0013436555607749,0.0016036680349112,0.0018663959644721,0.00218162335142,0.0025032876011999
2,0.0030277894467723,0.0007271925608317,0.0003311014175415,0.0002796317535971,0.0002937374201491,0.0003700623527153,0.0005177904224995,0.0006953676335113,0.0009070754938112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0007711632384194,0.0002490304745604,0.0002290039511224,0.0002462711542779,0.0003281455744437,0.0009050846167040636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0003913201783832,0.0002253771526739,0.0002147157210856,0.0004471887072158767,0.00035930975825532814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
