,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,0.0,0.0,0.0,0.06993006993006994,0.3146853146853147,0.0,0.0,0.06993006993006994,0.3146853146853147,0.06993006993006994,0.3146853146853147,0.7062937062937062,0.7062937062937062,0.0,0.06993006993006994,0.3146853146853147,0.7062937062937062,0.3146853146853147,0.7062937062937062,1.0,0.7062937062937062,1.0,0.06993006993006994,0.3146853146853147,0.7062937062937062,0.7062937062937062,1.0,1.0,1.0,0.3146853146853147,0.7062937062937062,1.0,1.0,1.0,0.7062937062937062,1.0,1.0,1.0,1.0,1.0,1.0
[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,0.0,0.008391608391608392,0.042735042735042736,0.11888111888111888,0.0,0.011655011655011656,0.053613053613053616,0.14498834498834498,0.0644910644910645,0.1710955710955711,0.35384615384615387,0.393006993006993,0.013986013986013986,0.0644910644910645,0.1710955710955711,0.35384615384615387,0.1972027972027972,0.393006993006993,0.7062937062937062,0.43216783216783217,0.7062937062937062,0.07536907536907538,0.1972027972027972,0.393006993006993,0.43216783216783217,0.7062937062937062,0.7389277389277389,1.0,0.2233100233100233,0.43216783216783217,0.7062937062937062,0.7389277389277389,1.0,0.47132867132867134,0.7389277389277389,1.0,0.7715617715617715,1.0,1.0,1.0
[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0,0.006576756576756577,0.020396270396270396,0.031857031857031856,0.0034965034965034965,0.013292263292263292,0.03146853146853147,0.053613053613053616,0.04467754467754468,0.07925407925407925,0.11888111888111888,0.16783216783216784,0.019064269064269064,0.04467754467754468,0.07925407925407925,0.11888111888111888,0.10878010878010878,0.16783216783216784,0.3146853146853147,0.22144522144522144,0.3146853146853147,0.060023310023310024,0.10878010878010878,0.16783216783216784,0.22144522144522144,0.3146853146853147,0.3962703962703963,0.6410256410256411,0.14219114219114218,0.22144522144522144,0.3146853146853147,0.3962703962703963,0.6410256410256411,0.27972027972027974,0.3962703962703963,0.6410256410256411,0.479020979020979,0.6410256410256411,0.7307692307692307,1.0
[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.008391608391608392,-0.006576756576756577,-0.0,0.005827505827505828,0.004662004662004662,0.0005827505827505828,0.005827505827505828,0.011655011655011656,0.011655011655011656,0.020396270396270396,0.023310023310023312,0.02097902097902098,0.04195804195804196,0.013403263403263404,0.020396270396270396,0.023310023310023312,0.02097902097902098,0.04079254079254079,0.04195804195804196,0.06993006993006994,0.07342657342657342,0.06993006993006994,0.03263403263403263,0.04079254079254079,0.04195804195804196,0.07342657342657342,0.06993006993006994,0.12237762237762238,0.19230769230769232,0.06526806526806526,0.07342657342657342,0.06993006993006994,0.12237762237762238,0.19230769230769232,0.11748251748251748,0.12237762237762238,0.19230769230769232,0.1958041958041958,0.19230769230769232,0.3076923076923077,0.46153846153846156
[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.06993006993006994,-0.042735042735042736,-0.020396270396270396,-0.005827505827505828,-0.0,0.0,-0.02505827505827506,-0.008158508158508158,0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3146853146853147,-0.11888111888111888,-0.031857031857031856,-0.004662004662004662,-0.0,-0.0,-0.08624708624708624,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.0034965034965034965,-0.0005827505827505828,0.02505827505827506,0.08624708624708624,-0.0,0.002913752913752914,0.02165889665889666,0.07536907536907538,0.01825951825951826,0.0644910644910645,0.16783216783216784,0.14335664335664336,0.0034965034965034965,0.02165889665889666,0.07536907536907538,0.19230769230769232,0.0644910644910645,0.16783216783216784,0.3146853146853147,0.16783216783216784,0.3554778554778555,0.02165889665889666,0.07536907536907538,0.19230769230769232,0.16783216783216784,0.3554778554778555,0.3554778554778555,0.6410256410256411,0.07536907536907538,0.19230769230769232,0.3962703962703963,0.3554778554778555,0.6410256410256411,0.19230769230769232,0.3962703962703963,0.6410256410256411,0.3962703962703963,0.6858974358974359,0.6858974358974359,1.0
[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.011655011655011656,-0.013292263292263292,-0.005827505827505828,0.008158508158508158,0.016317016317016316,-0.002913752913752914,-0.0,0.008741258741258742,0.018648018648018648,0.008741258741258742,0.019425019425019424,0.03496503496503497,0.03496503496503497,0.002913752913752914,0.01048951048951049,0.023310023310023312,0.04195804195804196,0.023310023310023312,0.043706293706293704,0.06993006993006994,0.05244755244755245,0.08741258741258741,0.012237762237762238,0.027972027972027972,0.05244755244755245,0.05244755244755245,0.08741258741258741,0.1048951048951049,0.19230769230769232,0.03263403263403263,0.06293706293706294,0.1048951048951049,0.1048951048951049,0.19230769230769232,0.07342657342657342,0.1258741258741259,0.19230769230769232,0.14685314685314685,0.23076923076923078,0.2692307692307692,0.46153846153846156
[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.06993006993006994,-0.053613053613053616,-0.03146853146853147,-0.011655011655011656,-0.0,-0.0,-0.02165889665889666,-0.008741258741258742,-0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3146853146853147,-0.14498834498834498,-0.053613053613053616,-0.011655011655011656,-0.0,-0.0,-0.07536907536907538,-0.018648018648018648,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
